M,N,K
13781, 3584, 6144
13781, 6144, 3072
13781, 160, 6144
13081, 3584, 6144
13081, 6144, 3072
13081, 160, 6144
14858, 3584, 6144
14858, 6144, 3072
14858, 160, 6144
26593, 3584, 6144
26593, 6144, 3072
26593, 160, 6144
23455, 3584, 6144
23455, 6144, 3072
23455, 160, 6144
14046, 3584, 6144
14046, 6144, 3072
14046, 160, 6144
11899, 3584, 6144
11899, 6144, 3072
11899, 160, 6144
15016, 3584, 6144
15016, 6144, 3072
15016, 160, 6144
12663, 3584, 6144
12663, 6144, 3072
12663, 160, 6144
12324, 3584, 6144
12324, 6144, 3072
12324, 160, 6144
14993, 3584, 6144
14993, 6144, 3072
14993, 160, 6144
14558, 3584, 6144
14558, 6144, 3072
14558, 160, 6144
14941, 3584, 6144
14941, 6144, 3072
14941, 160, 6144
13977, 3584, 6144
13977, 6144, 3072
13977, 160, 6144
12214, 3584, 6144
12214, 6144, 3072
12214, 160, 6144
14983, 3584, 6144
14983, 6144, 3072
14983, 160, 6144
26601, 3584, 6144
26601, 6144, 3072
26601, 160, 6144
26857, 3584, 6144
26857, 6144, 3072
26857, 160, 6144
40975, 3584, 6144
40975, 6144, 3072
40975, 160, 6144
11978, 3584, 6144
11978, 6144, 3072
11978, 160, 6144
13376, 3584, 6144
13376, 6144, 3072
13376, 160, 6144
14398, 3584, 6144
14398, 6144, 3072
14398, 160, 6144
25229, 3584, 6144
25229, 6144, 3072
25229, 160, 6144
27479, 3584, 6144
27479, 6144, 3072
27479, 160, 6144
13745, 3584, 6144
13745, 6144, 3072
13745, 160, 6144
25708, 3584, 6144
25708, 6144, 3072
25708, 160, 6144
13611, 3584, 6144
13611, 6144, 3072
13611, 160, 6144
12401, 3584, 6144
12401, 6144, 3072
12401, 160, 6144
13107, 3584, 6144
13107, 6144, 3072
13107, 160, 6144
12440, 3584, 6144
12440, 6144, 3072
12440, 160, 6144
13746, 3584, 6144
13746, 6144, 3072
13746, 160, 6144
13651, 3584, 6144
13651, 6144, 3072
13651, 160, 6144
26259, 3584, 6144
26259, 6144, 3072
26259, 160, 6144
11585, 3584, 6144
11585, 6144, 3072
11585, 160, 6144
13515, 3584, 6144
13515, 6144, 3072
13515, 160, 6144
13238, 3584, 6144
13238, 6144, 3072
13238, 160, 6144
13709, 3584, 6144
13709, 6144, 3072
13709, 160, 6144
14015, 3584, 6144
14015, 6144, 3072
14015, 160, 6144
12165, 3584, 6144
12165, 6144, 3072
12165, 160, 6144
14192, 3584, 6144
14192, 6144, 3072
14192, 160, 6144
11756, 3584, 6144
11756, 6144, 3072
11756, 160, 6144
12608, 3584, 6144
12608, 6144, 3072
12608, 160, 6144
13010, 3584, 6144
13010, 6144, 3072
13010, 160, 6144
14784, 3584, 6144
14784, 6144, 3072
14784, 160, 6144
12329, 3584, 6144
12329, 6144, 3072
12329, 160, 6144
12248, 3584, 6144
12248, 6144, 3072
12248, 160, 6144
12972, 3584, 6144
12972, 6144, 3072
12972, 160, 6144
12411, 3584, 6144
12411, 6144, 3072
12411, 160, 6144
14202, 3584, 6144
14202, 6144, 3072
14202, 160, 6144
11995, 3584, 6144
11995, 6144, 3072
11995, 160, 6144
11926, 3584, 6144
11926, 6144, 3072
11926, 160, 6144
12578, 3584, 6144
12578, 6144, 3072
12578, 160, 6144
15000, 3584, 6144
15000, 6144, 3072
15000, 160, 6144
14021, 3584, 6144
14021, 6144, 3072
14021, 160, 6144
13158, 3584, 6144
13158, 6144, 3072
13158, 160, 6144
14841, 3584, 6144
14841, 6144, 3072
14841, 160, 6144
13478, 3584, 6144
13478, 6144, 3072
13478, 160, 6144
14054, 3584, 6144
14054, 6144, 3072
14054, 160, 6144
12096, 3584, 6144
12096, 6144, 3072
12096, 160, 6144
14024, 3584, 6144
14024, 6144, 3072
14024, 160, 6144
12920, 3584, 6144
12920, 6144, 3072
12920, 160, 6144
13487, 3584, 6144
13487, 6144, 3072
13487, 160, 6144
14529, 3584, 6144
14529, 6144, 3072
14529, 160, 6144
26950, 3584, 6144
26950, 6144, 3072
26950, 160, 6144
13513, 3584, 6144
13513, 6144, 3072
13513, 160, 6144
27355, 3584, 6144
27355, 6144, 3072
27355, 160, 6144
13386, 3584, 6144
13386, 6144, 3072
13386, 160, 6144
12217, 3584, 6144
12217, 6144, 3072
12217, 160, 6144
13728, 3584, 6144
13728, 6144, 3072
13728, 160, 6144
13940, 3584, 6144
13940, 6144, 3072
13940, 160, 6144
23871, 3584, 6144
23871, 6144, 3072
23871, 160, 6144
13121, 3584, 6144
13121, 6144, 3072
13121, 160, 6144
12885, 3584, 6144
12885, 6144, 3072
12885, 160, 6144
14605, 3584, 6144
14605, 6144, 3072
14605, 160, 6144
26596, 3584, 6144
26596, 6144, 3072
26596, 160, 6144
11096, 3584, 6144
11096, 6144, 3072
11096, 160, 6144
12730, 3584, 6144
12730, 6144, 3072
12730, 160, 6144
14308, 3584, 6144
14308, 6144, 3072
14308, 160, 6144
14277, 3584, 6144
14277, 6144, 3072
14277, 160, 6144
12688, 3584, 6144
12688, 6144, 3072
12688, 160, 6144
12775, 3584, 6144
12775, 6144, 3072
12775, 160, 6144
12027, 3584, 6144
12027, 6144, 3072
12027, 160, 6144
11656, 3584, 6144
11656, 6144, 3072
11656, 160, 6144
11368, 3584, 6144
11368, 6144, 3072
11368, 160, 6144
15020, 3584, 6144
15020, 6144, 3072
15020, 160, 6144
12563, 3584, 6144
12563, 6144, 3072
12563, 160, 6144
24379, 3584, 6144
24379, 6144, 3072
24379, 160, 6144
13853, 3584, 6144
13853, 6144, 3072
13853, 160, 6144
11461, 3584, 6144
11461, 6144, 3072
11461, 160, 6144
12863, 3584, 6144
12863, 6144, 3072
12863, 160, 6144
12181, 3584, 6144
12181, 6144, 3072
12181, 160, 6144
25948, 3584, 6144
25948, 6144, 3072
25948, 160, 6144
11893, 3584, 6144
11893, 6144, 3072
11893, 160, 6144
26466, 3584, 6144
26466, 6144, 3072
26466, 160, 6144
13143, 3584, 6144
13143, 6144, 3072
13143, 160, 6144
12442, 3584, 6144
12442, 6144, 3072
12442, 160, 6144
12708, 3584, 6144
12708, 6144, 3072
12708, 160, 6144
12404, 3584, 6144
12404, 6144, 3072
12404, 160, 6144
12711, 3584, 6144
12711, 6144, 3072
12711, 160, 6144
12261, 3584, 6144
12261, 6144, 3072
12261, 160, 6144
37116, 3584, 6144
37116, 6144, 3072
37116, 160, 6144
11443, 3584, 6144
11443, 6144, 3072
11443, 160, 6144
13533, 3584, 6144
13533, 6144, 3072
13533, 160, 6144
12161, 3584, 6144
12161, 6144, 3072
12161, 160, 6144
13125, 3584, 6144
13125, 6144, 3072
13125, 160, 6144
13803, 3584, 6144
13803, 6144, 3072
13803, 160, 6144
13206, 3584, 6144
13206, 6144, 3072
13206, 160, 6144
14214, 3584, 6144
14214, 6144, 3072
14214, 160, 6144
11835, 3584, 6144
11835, 6144, 3072
11835, 160, 6144
13476, 3584, 6144
13476, 6144, 3072
13476, 160, 6144
12392, 3584, 6144
12392, 6144, 3072
12392, 160, 6144
12206, 3584, 6144
12206, 6144, 3072
12206, 160, 6144
12498, 3584, 6144
12498, 6144, 3072
12498, 160, 6144
12761, 3584, 6144
12761, 6144, 3072
12761, 160, 6144
11912, 3584, 6144
11912, 6144, 3072
11912, 160, 6144
13973, 3584, 6144
13973, 6144, 3072
13973, 160, 6144
13541, 3584, 6144
13541, 6144, 3072
13541, 160, 6144
